250994
============================================================
Improved Human scRNA-seq Metadata Collector
============================================================

2025-11-30 20:34:35,678 - __main__ - INFO - Starting metadata collection from all databases...

Starting collection process...

2025-11-30 20:34:35,678 - __main__ - INFO - 
============================================================
Collecting from cellxgene
============================================================
2025-11-30 20:34:35,678 - __main__ - INFO - Starting improved CELLxGENE collection...
2025-11-30 20:34:35,678 - __main__ - INFO - Fetching CELLxGENE collections from https://api.cellxgene.cziscience.com/curation/v1/collections
2025-11-30 20:34:44,916 - __main__ - INFO - Saved raw data to metadata_output/cellxgene/raw/collections_raw.json
2025-11-30 20:34:44,916 - __main__ - INFO - Retrieved 336 collections
2025-11-30 20:34:44,917 - __main__ - INFO - Fetching CELLxGENE datasets from https://api.cellxgene.cziscience.com/curation/v1/datasets
2025-11-30 20:35:29,807 - __main__ - INFO - Saved raw data to metadata_output/cellxgene/raw/datasets_raw.json
2025-11-30 20:35:29,808 - __main__ - INFO - Retrieved 2000 datasets
2025-11-30 20:35:29,811 - __main__ - WARNING - Error parsing dataset 5436f3d8-ca42-4ac7-9b4b-3c399a9bc496: sequence item 0: expected str instance, dict found
2025-11-30 20:35:29,811 - __main__ - WARNING - Error parsing dataset 4b8b5fbd-a24e-4d34-864d-16dfd4650d20: sequence item 0: expected str instance, dict found
2025-11-30 20:35:29,811 - __main__ - WARNING - Error parsing dataset 1a2c2433-b90a-46ff-9082-a15d81d2a695: sequence item 0: expected str instance, dict found
2025-11-30 20:35:29,811 - __main__ - WARNING - Error parsing dataset 125bc29a-677e-4aac-b2b6-5e23e66ef2a7: sequence item 0: expected str instance, dict found
2025-11-30 20:35:29,811 - __main__ - WARNING - Error parsing dataset b796f27e-e191-4f2d-b40c-e6ac58163b4e: sequence item 0: expected str instance, dict found
2025-11-30 20:35:29,811 - __main__ - WARNING - Error parsing dataset 9bfecd44-e6b5-4072-9b64-cb7f0a117f88: sequence item 0: expected str instance, dict found
2025-11-30 20:35:29,811 - __main__ - WARNING - Error parsing dataset e3ed2ba4-edf5-40ac-8750-8a417ad1eefe: sequence item 0: expected str instance, dict found
2025-11-30 20:35:29,811 - __main__ - WARNING - Error parsing dataset f3c49918-4707-4d92-bb6d-2b5b4eb9d1b4: sequence item 0: expected str instance, dict found
2025-11-30 20:35:29,811 - __main__ - WARNING - Error parsing dataset d7cff847-6403-44a6-ad8a-2f5a783639dd: sequence item 0: expected str instance, dict found
2025-11-30 20:35:29,811 - __main__ - WARNING - Error parsing dataset a24ce10f-5a87-4e1f-a34a-f4fe5fc84052: sequence item 0: expected str instance, dict found
