"cluster","dominant_cell_type","cell_count","type_proportion","cluster_label"
"1","Myeloid_Intermediate_Monocytes",283,0.183745583038869,"C1
Monocytes
(n=283)"
"2","Myeloid_Intermediate_monocytes",413,0.184019370460048,"C2
monocytes
(n=413)"
"3","Myeloid_Classical_Monocytes",203,0.216748768472906,"C3
Monocytes
(n=203)"
"4","Myeloid_Low_density_basophils",101,0.782178217821782,"C4
basophils
(n=101)"
